name,lon,lat,region,year,month,max_temp,min_temp,af_days,rain,sun
Aberporth,-4.56999,52.13914,Wales,2007,1,9.5,5.5,0,94.8,57.5
Aberporth,-4.56999,52.13914,Wales,2007,2,8.8,4.0,2,91.9,87.6
Aberporth,-4.56999,52.13914,Wales,2007,3,9.5,4.4,0,69.0,151.6
Aberporth,-4.56999,52.13914,Wales,2007,4,13.8,7.4,0,9.8,235.1
Aberporth,-4.56999,52.13914,Wales,2007,5,14.3,8.5,0,81.8,216.8
Aberporth,-4.56999,52.13914,Wales,2007,6,16.9,11.6,0,92.1,158.2
Aberporth,-4.56999,52.13914,Wales,2007,7,16.7,11.8,0,155.2,181.2
Aberporth,-4.56999,52.13914,Wales,2007,8,17.0,12.3,0,59.4,175.1
Aberporth,-4.56999,52.13914,Wales,2007,9,16.1,11.6,0,57.4,147.8
Aberporth,-4.56999,52.13914,Wales,2007,10,14.0,9.2,0,28.8,117.7
Aberporth,-4.56999,52.13914,Wales,2007,11,10.8,6.8,1,48.6,52.9
Aberporth,-4.56999,52.13914,Wales,2007,12,8.7,3.6,7,103.6,74.4
Aberporth,-4.56999,52.13914,Wales,2008,1,9.4,4.7,1,140.0,54.7
Aberporth,-4.56999,52.13914,Wales,2008,2,9.5,3.3,3,44.4,133.1
Aberporth,-4.56999,52.13914,Wales,2008,3,8.7,4.4,0,75.8,118.8
Aberporth,-4.56999,52.13914,Wales,2008,4,10.7,4.9,2,79.4,184.5
Aberporth,-4.56999,52.13914,Wales,2008,5,16.5,9.6,0,63.9,194.9
Aberporth,-4.56999,52.13914,Wales,2008,6,15.8,10.1,0,60.5,234.2
Aberporth,-4.56999,52.13914,Wales,2008,7,17.9,12.5,0,84.4,177.2
Aberporth,-4.56999,52.13914,Wales,2008,8,17.6,13.0,0,102.8,94.4
Aberporth,-4.56999,52.13914,Wales,2008,9,15.9,10.2,0,72.6,139.0
Aberporth,-4.56999,52.13914,Wales,2008,10,12.4,8.4,0,153.6,101.6
Aberporth,-4.56999,52.13914,Wales,2008,11,9.7,6.3,1,80.3,66.1
Aberporth,-4.56999,52.13914,Wales,2008,12,7.4,3.1,6,67.6,73.6
Aberporth,-4.56999,52.13914,Wales,2009,1,6.8,1.4,9,113.0,90.9
Aberporth,-4.56999,52.13914,Wales,2009,2,6.7,2.7,7,23.6,56.2
Aberporth,-4.56999,52.13914,Wales,2009,3,9.6,4.2,1,34.6,151.0
Aberporth,-4.56999,52.13914,Wales,2009,4,12.0,6.0,0,60.2,178.6
Aberporth,-4.56999,52.13914,Wales,2009,5,14.3,8.0,0,70.8,204.1
Aberporth,-4.56999,52.13914,Wales,2009,6,17.7,10.9,0,59.8,221.9
Aberporth,-4.56999,52.13914,Wales,2009,7,18.0,12.6,0,154.8,156.8
Aberporth,-4.56999,52.13914,Wales,2009,8,18.3,12.5,0,59.4,159.7
Aberporth,-4.56999,52.13914,Wales,2009,9,15.9,11.0,0,22.8,145.1
Aberporth,-4.56999,52.13914,Wales,2009,10,14.3,9.6,0,82.4,78.9
Aberporth,-4.56999,52.13914,Wales,2009,11,11.1,6.6,0,203.8,44.5
Aberporth,-4.56999,52.13914,Wales,2009,12,6.9,2.4,5,124.8,67.7
Aberporth,-4.56999,52.13914,Wales,2010,1,5.1,0.9,11,55.4,86.1
Aberporth,-4.56999,52.13914,Wales,2010,2,5.9,1.4,6,38.1,100.8
Aberporth,-4.56999,52.13914,Wales,2010,3,8.5,3.0,4,64.8,147.3
Aberporth,-4.56999,52.13914,Wales,2010,4,11.6,5.3,0,30.4,215.5
Aberporth,-4.56999,52.13914,Wales,2010,5,13.2,7.6,0,58.6,239.8
Aberporth,-4.56999,52.13914,Wales,2010,6,17.6,10.6,0,23.2,259.3
Aberporth,-4.56999,52.13914,Wales,2010,7,18.1,13.0,0,122.2,115.4
Aberporth,-4.56999,52.13914,Wales,2010,8,16.9,12.2,0,34.2,153.5
Aberporth,-4.56999,52.13914,Wales,2010,9,16.6,11.5,0,62.3,143.2
Aberporth,-4.56999,52.13914,Wales,2010,10,13.7,8.2,0,93.8,139.7
Aberporth,-4.56999,52.13914,Wales,2010,11,8.8,4.0,5,108.0,78.6
Aberporth,-4.56999,52.13914,Wales,2010,12,4.5,-0.1,17,22.8,79.1
Aberporth,-4.56999,52.13914,Wales,2011,1,6.5,2.1,9,91.6,80.5
Aberporth,-4.56999,52.13914,Wales,2011,2,9.2,4.7,1,52.2,68.4
Aberporth,-4.56999,52.13914,Wales,2011,3,9.6,3.5,5,24.2,193.8
Aberporth,-4.56999,52.13914,Wales,2011,4,14.6,8.0,0,19.2,223.4
Aberporth,-4.56999,52.13914,Wales,2011,5,15.0,8.8,0,44.4,194.4
Aberporth,-4.56999,52.13914,Wales,2011,6,15.8,9.9,0,51.2,234.1
Aberporth,-4.56999,52.13914,Wales,2011,7,17.3,11.5,0,50.0,206.3
Aberporth,-4.56999,52.13914,Wales,2011,8,17.5,11.8,0,64.0,141.6
Aberporth,-4.56999,52.13914,Wales,2011,9,17.0,12.0,0,62.2,126.5
Aberporth,-4.56999,52.13914,Wales,2011,10,14.8,10.5,0,85.2,72.9
Aberporth,-4.56999,52.13914,Wales,2011,11,12.6,8.1,0,66.0,73.4
Aberporth,-4.56999,52.13914,Wales,2011,12,9.3,5.5,0,126.4,25.0
Aberporth,-4.56999,52.13914,Wales,2012,1,8.4,4.9,0,64.6,59.6
Aberporth,-4.56999,52.13914,Wales,2012,2,7.5,2.8,10,38.2,68.0
Aberporth,-4.56999,52.13914,Wales,2012,3,11.6,5.9,0,23.8,166.1
Aberporth,-4.56999,52.13914,Wales,2012,4,9.8,4.6,1,93.0,113.2
Aberporth,-4.56999,52.13914,Wales,2012,5,14.3,8.2,0,57.4,213.8
Aberporth,-4.56999,52.13914,Wales,2012,6,15.7,10.6,0,148.0,143.9
Aberporth,-4.56999,52.13914,Wales,2012,7,16.6,11.7,0,76.2,139.4
Aberporth,-4.56999,52.13914,Wales,2012,8,18.4,13.4,0,100.2,141.1
Aberporth,-4.56999,52.13914,Wales,2012,9,15.3,10.2,0,86.8,137.9
Aberporth,-4.56999,52.13914,Wales,2012,10,12.7,8.2,0,135.6,98.6
Aberporth,-4.56999,52.13914,Wales,2012,11,9.6,4.9,1,160.4,60.4
Aberporth,-4.56999,52.13914,Wales,2012,12,8.4,4.2,4,168.6,53.4
Aberporth,-4.56999,52.13914,Wales,2013,1,6.8,3.1,10,74.1,47.4
Aberporth,-4.56999,52.13914,Wales,2013,2,6.7,2.0,4,60.4,90.5
Aberporth,-4.56999,52.13914,Wales,2013,3,6.6,1.0,13,40.0,127.3
Aberporth,-4.56999,52.13914,Wales,2013,4,10.3,4.3,5,33.4,184.2
Aberporth,-4.56999,52.13914,Wales,2013,5,12.2,6.4,0,60.8,196.9
Aberporth,-4.56999,52.13914,Wales,2013,6,15.9,9.9,0,45.0,217.9
Aberporth,-4.56999,52.13914,Wales,2013,7,20.7,13.6,0,36.0,291.5
Aberporth,-4.56999,52.13914,Wales,2013,8,18.6,13.2,0,73.4,152.7
Aberporth,-4.56999,52.13914,Wales,2013,9,16.8,11.6,0,61.8,96.7
